seamap_stn,seamap_cruise,salinity,water_temp,strat,fluor,lat,lon,depth_m,storm
B217,292,35.4968,27.4308,0.31974182,0.648,28,-94.5,60,None
B217,301,36.347,27.6405,0.173973783,0.1866,28,-94.5,60,None
B217,505,34.62866667,26.41133333,0.589658626,,28,-94.5,60,Rita
B217,604,36.48875,29.74625,1.478652132,0.508,28,-94.5,60,None
B217,805,35.8415,26.95925,0.261795002,1.5918,28,-94.5,60,Ike
B217,904,36.59275,29.49225,1.608558644,0.5606,28,-94.5,60,None
B217,1606,36.3683,30.350625,1.299180164,0.22958,28,-94.5,60,None
B217,RP1,36.13575,26.042,0.949662792,0.91444,28,-94.5,60,Harvey
B217,SEAMAP,36.23129063,28.91135,0.885000912,0.58598,28,-94.5,60,Harvey
B218,292,33.64025,26.44175,0.696233982,0.7438,28.5,-94.5,30.4,None
B218,301,36.265,27.1915,0.068309992,0.586,28.5,-94.5,30.4,None
B218,505,34.4695,26.41075,0.267709337,,28.5,-94.5,30.4,Rita
B218,604,36.032,30.05425,0.447161033,0.9316,28.5,-94.5,30.4,None
B218,904,36.67575,30.0285,0.077373681,0.2496,28.5,-94.5,30.4,None
B218,1606,34.435725,29.9633,1.29420593,0.3145,28.5,-94.5,30.4,None
B218,RP1,35.00300833,24.54429167,0.663857486,0.5764,28.5,-94.5,30.4,Harvey
B218,SEAMAP,32.79181818,28.46194545,3.565328062,0.67212,28.5,-94.5,30.4,Harvey
B219,284,34.6775,23.1955,0.036847459,1.637,29,-94.5,9.9,Ike
B219,292,30.221,25.75775,1.574829621,0.8396,29,-94.5,9.9,None
B219,301,35.113,26.1235,0.020359874,1.4792,29,-94.5,9.9,None
B219,505,30.6398,26.0236,0.05872321,,29,-94.5,9.9,Rita
B219,604,34.7775,30.359,0.236367469,3.1236,29,-94.5,9.9,None
B219,904,35.49575,29.991,0.07758038,5.1964,29,-94.5,9.9,None
B219,1606,33.260675,30.492025,0.009847873,0.3257,29,-94.5,9.9,None
B219,RP1,32.4250625,23.5550125,0.363844285,0.74212,29,-94.5,9.9,Harvey
B219,SEAMAP,30.40843462,28.27164615,2.369071422,2.20852,29,-94.5,9.9,Harvey
B220,301,29.562,25.298,0.040899111,2.676,29.5,-94.5,10.2,None
B220,604,32.171,29.91175,0.049326014,13.2354,29.5,-94.5,10.2,None
B220,1606,23.15934,30.89394,4.879518806,7.67376,29.5,-94.5,10.2,None
B220,RP1,30.47754091,22.87616364,0.195021852,0.49612,29.5,-94.5,10.2,Harvey
B220,SEAMAP,22.19344583,28.49087917,1.736759234,1.24256,29.5,-94.5,10.2,Harvey
B221,291,27.31225,30.249,4.77627837,9.7888,29,-95,14,None
B221,301,32.89066667,25.78233333,0.048698352,2.5634,29,-95,14,None
B221,505,29.68466667,25.55533333,0.045958872,,29,-95,14,Rita
B221,604,35.84675,30.58775,0.133102923,6.2688,29,-95,14,None
B221,804,31.2905,26.5755,0.043612309,4.8558,29,-95,14,None
B221,904,31.88875,30.02475,1.136049435,9.0848,29,-95,14,None
B221,1606,27.6385,30.5351,8.039140636,2.52832,29,-95,14,None
B221,RP1,32.78071818,23.06612727,0.296261458,1.017563265,29,-95,14,Harvey
B221,SEAMAP,29.30415455,28.16795909,1.075294394,0.39416,29,-95,14,Harvey
B222,284,34.905,26.17166667,0.120411319,1.7158,28.5,-95,27.8,Ike
B222,291,32.93325,30.26975,1.491497334,7.5198,28.5,-95,27.8,None
B222,292,34.18475,26.67675,0.459524217,0.4688,28.5,-95,27.8,None
B222,301,36.25,27.00366667,0.059745521,0.623,28.5,-95,27.8,None
B222,505,32.989,27.245,0.084638965,,28.5,-95,27.8,Rita
B222,604,36.40475,29.927,0.240308157,0.593,28.5,-95,27.8,None
B222,804,34.641,26.84125,0.167942456,2.679333333,28.5,-95,27.8,None
B222,904,36.7028,29.9552,0.072801506,0.4234,28.5,-95,27.8,None
B222,1606,33.07395,30.129225,0.820695819,0.55342,28.5,-95,27.8,None
B222,RP1,33.129335,23.742505,1.39345864,1.629897771,28.5,-95,27.8,Harvey
B222,SEAMAP,29.33395385,28.40626538,4.091332872,1.3176,28.5,-95,27.8,Harvey
B223,291,35.461,30.10875,0.874522888,2.079,28.08,-95,54.6,None
B223,292,34.7154,27.4148,1.081062275,0.5482,28.08,-95,54.6,None
B223,301,36.352,27.7025,0.227097042,0.1382,28.08,-95,54.6,None
B223,505,35.22125,27.18125,0.914526464,,28.08,-95,54.6,Rita
B223,604,36.477,29.74766667,2.468048192,0.8184,28.08,-95,54.6,None
B223,804,34.986,27.824,1.391476003,3.4382,28.08,-95,54.6,None
B223,805,35.11966667,26.34033333,0.683273788,1.5368,28.08,-95,54.6,Ike
B223,904,36.612,29.3788,1.590697422,0.7496,28.08,-95,54.6,None
B223,1606,36.239725,29.974575,2.207858429,0.3169,28.08,-95,54.6,None
B223,RP1,36.241335,26.38071,1.101099178,0.4876,28.08,-95,54.6,Harvey
B223,SEAMAP,35.31853636,28.41399545,2.713625686,0.66568,28.08,-95,54.6,Harvey
